index,file_id,year,found_terms,fragment
0,1752_Zaan_Veen,1752,['courant'],want den Hr Schijff liet in de haerlemse courant in dato 23 Junij 1743 bekent maken uijt een Extract van een brieff van zeker Heer tot Delft dat hij gedwongen en van het volk afgeloopen was dat anders het schip zijn gewenscht succes gedaen had
1,1813_Haag_Baak,1813,['kourant'],Doch is op de haven door eenige burgerlieden gekregen en naar den gouverneur gebragt Eergisteren is tot Com 110 1813 mandant van de stad benoemd den oud oversten O van Well en tot plaats Majoor A van Eck Lieutenant der Oranje Garde Heden is hij een buitengewoone s Graven haagsche kourant bekend gemaakt een brief van zijne Hoogheid aan den Heer GC
2,1813_Haag_Baak,1813,['tijding'],De tijding dat de Prins aankwam is door de zoon van Pronk te Scheveningen aangebragt welke een groote oranje vlagge om had
3,1807_Leuv_Pelc_03,1807,['gazette'],ziet de Gazette des Pays Bas van 7 january 1788 en den Esprit des Gazettes van 5 dito in de welke deze twee Depechen te lezen zyn
4,1807_Leuv_Pelc_03,1807,['tydinge'],gegeven heeft een Bataillon van Antwerpen de Dragonders van Mechelen en om in de plaetse van deze twee laeste troupen te komen het Bataillon van Nieuport moeten veerdig zijn om hun op march te stellen op de eerste tydinge
5,1807_Leuv_Pelc_03,1807,['tydinge'],Ontfangen alhier de tydinge dat de Ledemaeten der Heeren Staeten van Brabant dewelke tegenwoordigh in Brussel zijn op gisteren Vergaedert geweest zyn besloten hebben van te handhaeven de zaeke van de Wettige universiteyt in den Raed van Brabant
6,1807_Leuv_Pelc_03,1807,['tydinge'],De tydinge welke hier aengekomen was en welke ik als dan geannoteert hebben der Heeren Advocaeten genoemt tot de Plaetse van Raedsheer van den Raede van Brabant en is alzoo niet geweest maer daer is eene verranderinge in gedaen
7,1807_Leuv_Pelc_03,1807,['tydingen'],De tydingen van meest alle de Steden melden dat generaelyk alle de geesten ontroert en int werk zyn
8,1807_Leuv_Pelc_03,1807,['tydinge'],het Bataillon Van Vierset van Bruggen de twee Divisen van Clairfait die tot Gend gebleven zyn eene Divisie Dragonders van Berghen en het Bataillon van Reniac van hier zijn gereet om zig in beweging te stellen op de minste tydinge
9,1807_Leuv_Pelc_03,1807,['tydinge'],op de eerste tydinge die mij daer van kwam van dezen hevigen voorval dede ik van hier marcheren het Battaillon Grenadiers van Riniac en een Escadron Dragonders dewelke daer aenkwamen des anderdaeghs ontrent thien uren
10,1807_Leuv_Pelc_02,1807,['gazette'],GAZETTE DE COLOGNE AVEC PRIVILEGE DE SA MAJESTE IMPERIALE DU JEUDI 14 FEVRIER 1782
11,1807_Leuv_Pelc_02,1807,['gazette'],On a calculé que lannée dernière il étoit arrivé de Petersbourg dans le Sund 52 bâtiments Russes qui étoient chargés des productions de leur pays pour la valeur dun XIV SUPPLEMENT A LA GAZETTE DE COLOGNE Du VENDREDI 15 FEVRIER 1782
12,1807_Leuv_Pelc_02,1807,['tydinge'],Octobris 12 De tydinge is hier aengekomen dat het definitief Vrede Tractaet tusschen syne keyserlyke Majesteyt en die Hooghmogende Staeten Generael van Holland te Fontainblau gesloten zyn 1785 Octobris 13
13,1807_Leuv_Pelc_02,1807,['courant'],Brabants Courant
14,1807_Leuv_Pelc_02,1807,['tydinge'],deze tydinge veroorzaekt onder het volk zoodanig misnoegen dat ik vreese indien het uytgewerkt word ongelukkige gevolgen hebben zal
15,1807_Leuv_Pelc_02,1807,['tydinge'],6o Alle Ambaghten moeten op het spoedighste voor Commissarissen van de Magistraet Rekeninge doen en inspectie van alles geven April 8 is hier binnen Loven de tydinge aengekomen dat de Grave De Mersde etc
16,1807_Leuv_Pelc_02,1807,['tydinge'],Mey 2 wy ontfangen alhier dezen avont tydinge dat die d@@den staet der Dekens der Ambagten van Antwerpen zig gevoeght hebben met die Boetmeesters der Ambagten
17,1807_Leuv_Pelc_02,1807,['tydinge'],Mey 9 Wy komen de tydinge te ontfangen dat den Raed van Berghen zig ook tegen syne vernietinge stelt en alle de gene dewelke benoemt waeren om den Raed van eerste instantie uyt te maecken hebben eens gelykx alle bedankt
18,1807_Leuv_Pelc_02,1807,['tydinge'],Des naer middaeghs komt alhier de tydinge dat Mynheer De Beeckman Opper Borgemeester dezer stad en Mynheer den Graeve
19,1807_Leuv_Pelc_02,1807,['tydinge'],57 den 11 December komt La joie aen de Seminaristen aenzeggen dater tydinge van Brussel gekomen is mede brengende dat het voorwerp van het Request van te groote aengelegentheyd was om daer zoo haest een besluyt op te geven
20,1807_Leuv_Pelc_02,1807,['tydinge'],juny 15 Wy ontfangen alhier de tydinge dat den Negt De Standt Borger van Brussel den welken zoo ik hier voren gemeld hebbe feytelyk naer Weenen vervoert was in vryheyd gestelt is en dat hy int kort hier te rugge in het land verwaght word
21,1807_Leuv_Pelc_02,1807,['tydinge'],zoo haest deze tydinge alhier aengekomen was heeft die groote vreugt in de stad veroorzaekt vele vreugde vieren en verligtingen zyn er door geheel de stad geweest
22,1807_Leuv_Pelc_02,1807,['tydinge'],july Op 30 junij laestleden laet in den avont is de Depeche waer van wj de tydinge al op 28 dito par particulieren brief hier ontfangen hadden alhier door die Gedeputeerden der Universiteyt aengebragt
